m,n,R,s,seed,ker_dim,s_val,decomp_error,w
2,8,7,4,0,4,0.023504582592850976,3.3417885259139425e-14,0.0
2,8,7,5,0,5,0.019607637716934974,8.152362988687772e-15,1.1102230246251565e-16
2,8,7,6,0,6,0.029012606754112217,4.806601063768823e-14,2.220446049250313e-16
2,8,7,7,0,7,0.001334067531691294,5.585575763122278e-14,1.1102230246251565e-16
2,8,8,8,0,8,8.459230736663401e-05,1.0944208796828807e-12,1.1102230246251565e-16
3,5,7,0,0,0,0.012929874915116036,,
3,5,7,1,0,1,0.025185009938341586,7.344128326001869e-16,0.0
3,5,7,2,0,2,0.009363766545276177,3.549072097414472e-15,0.0
3,5,7,3,0,3,0.06622698232132972,3.4717278201362403e-15,0.0
3,5,7,4,0,4,0.011388508223795675,8.423950055766699e-15,0.0
3,5,7,5,0,5,0.031968930873796056,3.4968508300402864e-14,0.0
3,5,8,6,0,6,0.002935357500268108,5.587858190265616e-13,2.220446049250313e-16
3,5,8,7,0,7,0.012874852612976174,5.96553016278372e-14,2.220446049250313e-16
3,5,8,8,0,8,0.00382537137549374,3.9569930211536506e-14,0.0
4,4,8,0,0,0,0.006497037379993542,,
4,4,8,1,0,1,0.014540541296632322,1.216491457983258e-15,0.0
4,4,8,2,0,2,0.028729416005323024,2.6447247612383543e-15,0.0
4,4,8,3,0,3,0.005712604243987379,9.648783025687321e-15,0.0
4,4,8,4,0,4,0.02858369384495695,1.0793303947533725e-14,0.0
4,4,8,5,0,5,0.02090982737134329,5.371923194503361e-15,2.220446049250313e-16
4,4,8,6,0,6,0.011743488571432458,5.3202112485956135e-14,2.220446049250313e-16
4,4,8,7,0,7,0.0168661763327155,4.354423860580322e-14,0.0
4,4,8,8,0,8,0.00514855223959632,9.830056674715394e-14,0.0
4,4,9,9,0,9,0.002882614447018591,1.657027715918917e-12,2.220446049250313e-16
2,9,8,0,0,0,0.01584500187397812,,
2,9,8,1,0,1,0.0017866917902802596,1.1266744926943216e-14,0.0
2,9,8,2,0,2,0.0002208510855638536,7.729463496397374e-15,1.1102230246251565e-16
2,9,8,3,0,3,0.008291087134220247,7.883350612250129e-15,3.3306690738754696e-16
2,9,8,4,0,4,6.699543496376287e-05,3.074813654618043e-13,1.1102230246251565e-16
2,9,8,5,0,5,0.006974948917936572,2.2416148436708973e-14,0.0
2,9,8,6,0,6,0.011767143073664301,8.219958290179786e-14,2.220446049250313e-16
2,9,8,7,0,7,0.0005539143556636987,1.2417706838258343e-13,1.1102230246251565e-16
2,9,8,8,0,8,0.00010595420930679928,3.2382542239018184e-13,2.220446049250313e-16
2,9,9,9,0,9,0.0006609248319022048,1.428307033685729e-13,1.1102230246251565e-16
3,6,9,0,0,0,0.00033454636415229303,,
3,6,9,1,0,1,0.00856308052830414,1.1095736686741798e-15,1.1102230246251565e-16
3,6,9,2,0,2,0.011294710115236813,1.8570744480560576e-14,2.220446049250313e-16
3,6,9,3,0,3,0.007920892395801559,4.594522137904728e-15,0.0
3,6,9,4,0,4,0.013343586498648407,6.994124475793721e-13,1.1102230246251565e-16
