m,n,R,s,seed,ker_dim,s_val,decomp_error,w
10,,40,17,0,17,0.003067376240841884,5.4123877071462206e-11,1.1102230246251565e-16
10,,40,18,0,18,0.0054088994820230924,1.7822282001099966e-12,4.440892098500626e-16
10,,40,19,0,19,0.007732482623002819,4.610505976469637e-11,4.440892098500626e-16
10,,40,20,0,20,0.0038588427905125095,1.0755110718401803e-11,2.220446049250313e-16
10,,40,21,0,21,0.006008698776130945,4.793280851481899e-12,3.3306690738754696e-16
10,,40,22,0,22,0.007288546597924775,8.126384672776861e-11,2.220446049250313e-16
10,,40,23,0,23,0.005350459070871311,4.173709113491207e-11,3.3306690738754696e-16
10,,40,24,0,24,0.007202824948574982,6.8396382681874345e-12,3.3306690738754696e-16
10,,40,25,0,25,0.00679201220602278,8.756435216088777e-12,2.220446049250313e-16
10,,40,26,0,26,0.007946777197975909,2.3444553367671727e-11,2.220446049250313e-16
10,,40,27,0,27,0.005310190130997084,8.985526503797233e-12,5.551115123125783e-16
10,,40,28,0,28,0.006698403192093682,7.943989229839812e-11,3.3306690738754696e-16
10,,40,29,0,29,0.007224771468557804,4.893733498834203e-12,4.440892098500626e-16
10,,40,30,0,30,0.0053821081447428774,6.175432926865171e-11,5.551115123125783e-16
10,,40,31,0,31,0.00605312786166332,3.348723158521387e-10,2.220446049250313e-16
10,,40,32,0,32,0.006068784720997867,5.14578219076116e-10,3.3306690738754696e-16
10,,40,33,0,33,0.00889908076904406,2.1806354509653202e-10,3.3306690738754696e-16
10,,40,34,0,34,0.008364002825745516,1.0870022936749435e-11,4.440892098500626e-16
10,,40,35,0,35,0.00803993762846875,2.195634061073843e-10,4.440892098500626e-16
10,,41,36,0,36,3.378012575178026e-05,7.776728061050167e-10,3.3306690738754696e-16
10,,41,37,0,37,0.00032126803605550617,5.092031856176226e-11,4.440892098500626e-16
10,,41,38,0,38,0.0005277682748826273,8.10336222318593e-10,5.551115123125783e-16
10,,41,39,0,39,0.0005669753117560054,3.3024414347475015e-11,7.771561172376096e-16
10,,41,40,0,40,0.0009983330456657617,1.7514032322010903e-09,5.551115123125783e-16
10,,41,41,0,41,0.0007818818947613682,4.095133352908114e-11,6.661338147750939e-16
11,,48,0,0,0,0.008174926669678974,,
11,,48,1,0,1,0.010857827539967939,3.614947528943387e-15,0.0
11,,48,2,0,2,0.008853808675130463,2.0681351426816918e-13,0.0
