m,n,R,s,seed,ker_dim,s_val,decomp_error,w
15,,92,92,0,92,0.0009826764864714962,5.01361875873151e-10,6.661338147750939e-16
16,,104,104,0,104,0.00319087518067888,1.338011902054019e-10,1.1102230246251565e-15
17,,118,118,0,118,0.0011607147055247697,5.957971487454442e-10,7.771561172376096e-16
18,,132,132,0,132,0.0018009430165709568,2.163492758811617e-09,1.6653345369377348e-15
19,,147,147,0,147,0.002249779433838571,5.695072811400958e-10,9.992007221626409e-16
20,,163,163,0,163,0.0018667019883716602,6.979783626908125e-10,9.992007221626409e-16
21,,180,180,0,180,0.0010122991890121726,8.686447554676064e-10,1.887379141862766e-15
