m,n,R,s,seed,ker_dim,s_val,decomp_error,w
3,8,14,8,0,21,0.018818851793637955,2.8560458504263715,0.6468987140420609
3,8,14,9,0,21,0.01339957755617073,2.8759569997272534,0.5067424184389835
3,8,14,10,0,21,0.013354882056115772,2.925779261398005,0.5722862621607279
3,8,14,11,0,21,0.026347503831122894,2.9332632788492163,0.6810325326396445
3,8,14,12,0,21,0.007025949429828222,2.9570973813903425,0.7594830677416127
3,8,14,13,0,21,0.0046814530800322746,2.788927961018301,0.7461748382991057
3,8,14,14,0,21,0.0031067559753112984,3.0189587374724627,0.7530928776355551
4,6,13,0,0,1,0.006284447995357956,0.44596609657714553,
4,6,14,1,0,15,0.04325647047198165,2.3410605129214197,0.14369020028171353
4,6,14,2,0,15,0.037490615245018705,2.4546119094235297,0.5718038076208128
4,6,14,3,0,15,0.02759555137579777,2.3779174019664615,0.4645011158208495
4,6,14,4,0,15,0.02469711277489608,2.4133538806424792,0.6113829618848629
4,6,14,5,0,15,0.026720263533667542,2.2884722296282995,0.5589662064352309
4,6,14,6,0,15,0.031825815959279254,2.3467220888177946,0.7069860892191338
4,6,14,7,0,15,0.014918597646955453,2.439416071670232,0.6147089080527932
4,6,14,8,0,15,0.01460087964730576,2.1182809887163594,0.4911458252091855
4,6,14,9,0,15,0.012332936729699557,2.3305369270172944,0.5813694312685728
4,6,14,10,0,15,0.004916089002606133,2.018008523079664,0.559010208547104
4,6,14,11,0,15,0.008535659649979977,2.1844362409063334,0.5907667040064559
4,6,14,12,0,15,0.007675279011019025,2.1367595322484654,0.5661422692734653
4,6,14,13,0,15,0.0024286975289059304,2.166247643164285,0.7063091966670684
4,6,14,14,0,15,0.003167664812000261,1.6918683315843595,0.5724647568505333
5,5,14,0,0,5,0.014992864182622703,1.53304228461592,
5,5,14,1,0,5,0.012348209464536368,1.4636505910868647,0.1288572614339073
5,5,14,2,0,5,0.00685403317960163,1.4594181979287837,0.4511310491498106
5,5,14,3,0,5,0.007404095788111983,1.4674379064793113,0.778030008065246
5,5,14,4,0,5,0.003464004333165723,1.285646491133902,0.7431585824838955
5,5,15,5,0,20,0.03168611834070278,2.872771490761745,0.5749544256976182
5,5,15,6,0,20,0.03210039779375217,2.7847143168147124,0.48476075008080755
5,5,15,7,0,20,0.02009685572625118,2.820967136665067,0.673710771979237
5,5,15,8,0,20,0.027544505207077293,2.8562402790960024,0.7414090517139957
5,5,15,9,0,20,0.027380617982633977,2.869531673705602,0.6608811743822508
5,5,15,10,0,20,0.020921969649185718,2.884738806699933,0.6984436771046136
