m,n,R,s,seed,ker_dim,s_val,decomp_error,w
2,73,73,73,0,73,1.2867589388691899e-06,4.303674267726202e-10,9.992007221626409e-16
2,74,74,74,0,74,7.225239692758607e-07,2.99376018110549e-09,7.771561172376096e-16
3,43,74,74,0,74,0.00010290176915406441,2.0006662589882365e-10,1.1102230246251565e-15
5,24,74,74,0,74,0.003530000722299139,1.4205524329668589e-11,7.771561172376096e-16
2,75,75,75,0,75,1.274378961650109e-06,4.031988249974547e-10,1.3322676295501878e-15
4,31,75,75,0,75,0.0006656376937411043,4.641374576537708e-11,6.661338147750939e-16
9,13,75,75,0,75,0.0021572193641095057,1.0809478816092462e-10,6.661338147750939e-16
3,44,75,75,0,75,0.000373681508115577,2.0040823424201633e-10,6.661338147750939e-16
2,76,76,76,0,76,1.4358377143642158e-06,9.69020597098805e-10,8.881784197001252e-16
6,20,76,76,0,76,7.901054562302039e-05,2.612880515231402e-10,8.881784197001252e-16
7,17,76,76,0,76,0.00046384193812482977,2.9147534628646883e-10,5.551115123125783e-16
2,77,77,77,0,77,9.857708866337183e-07,7.67668949805663e-10,8.881784197001252e-16
8,15,77,77,0,77,0.0010693405271699067,8.134886866432931e-10,6.661338147750939e-16
3,45,77,77,0,77,0.0004985066184205241,4.115034541137971e-11,6.661338147750939e-16
10,12,77,77,0,77,0.00350718233066149,6.878139371714751e-10,6.661338147750939e-16
4,32,77,77,0,77,0.0017906857530364062,4.479311597336957e-11,8.881784197001252e-16
5,25,77,77,0,77,0.0030464047969501846,4.0761634650161405e-11,8.881784197001252e-16
2,78,78,78,0,78,5.691683999938211e-07,6.003221609568663e-09,7.771561172376096e-16
11,11,78,78,0,78,0.0012296912920940345,2.5221176694689202e-11,6.661338147750939e-16
2,79,79,79,0,79,6.054399976114211e-06,2.392062542400215e-10,1.1102230246251565e-15
3,46,79,79,0,79,0.0002556858182535579,2.855702057997844e-10,6.661338147750939e-16
6,21,79,79,0,79,0.0032004097823896006,8.389766149161351e-11,8.881784197001252e-16
2,80,80,80,0,80,6.968021488573087e-06,7.614940798815597e-10,9.992007221626409e-16
4,33,80,80,0,80,0.0001986641223659979,8.109062536546767e-10,7.771561172376096e-16
7,18,80,80,0,80,0.0028103410187060324,3.99567425273278e-11,7.771561172376096e-16
2,81,81,81,0,81,5.112534801129696e-07,1.8208115671226905e-08,8.881784197001252e-16
3,47,81,81,0,81,6.679085106004246e-05,2.5251774786921136e-10,8.881784197001252e-16
5,26,81,81,0,81,0.000471235578052487,8.601073691364223e-11,7.771561172376096e-16
9,14,81,81,0,81,0.0019971724589882187,3.794271883682183e-11,1.1102230246251565e-15
2,82,82,82,0,82,8.943252782869666e-07,3.4014015396013172e-09,7.771561172376096e-16
8,16,82,82,0,82,0.002323454591053332,4.631127327305955e-11,7.771561172376096e-16
4,34,82,82,0,82,0.0013997934517361124,3.88551357556568e-11,7.771561172376096e-16
3,48,82,82,0,82,0.00010875336934133751,6.491653215583334e-11,9.992007221626409e-16
2,83,83,83,0,83,6.35165762768605e-08,3.797226280630994e-09,1.2212453270876722e-15
6,22,83,83,0,83,0.002714300020600574,2.0807153426485117e-11,8.881784197001252e-16
2,84,84,84,0,84,3.209895050116298e-07,2.066098399439491e-09,9.992007221626409e-16
10,13,84,84,0,84,0.0015739642031186326,9.597803384623733e-11,8.881784197001252e-16
5,27,84,84,0,84,0.0010650054141024552,4.188808661944168e-10,1.2212453270876722e-15
3,49,84,84,0,84,0.00030543846409271445,6.351577565540199e-09,7.771561172376096e-16
4,35,85,85,0,85,3.190189223285871e-05,1.3854761750926027e-09,9.992007221626409e-16
2,85,85,85,0,85,1.7618037606492225e-06,3.967864686406913e-09,5.551115123125783e-16
7,19,85,85,0,85,0.0009558054388753853,2.4692928472374904e-10,7.771561172376096e-16
11,12,85,85,0,85,0.0030957374947969208,4.99488442564924e-11,8.881784197001252e-16
2,86,86,86,0,86,2.831058673077127e-06,1.371903304188638e-08,9.992007221626409e-16
3,50,86,86,0,86,0.00028215426096846793,1.1037468508841145e-10,8.881784197001252e-16
2,87,87,87,0,87,7.783426910247557e-09,4.625418179226206e-08,1.4432899320127035e-15
5,28,87,87,0,87,0.0017427839095599704,5.831098419129331e-11,7.771561172376096e-16
4,36,87,87,0,87,0.0008427423928409433,7.468306889983487e-11,6.661338147750939e-16
9,15,87,87,0,87,0.0023434941386565058,2.781061161907483e-10,9.992007221626409e-16
6,23,87,87,0,87,0.002723261431919437,2.9459895535159967e-11,6.661338147750939e-16
8,17,87,87,0,87,0.003934195363510802,3.8349030163934684e-11,6.661338147750939e-16
3,51,87,87,0,87,0.0006144239135747551,4.286124240167893e-10,7.771561172376096e-16
2,88,88,88,0,88,1.142141011576747e-06,1.8405513466492001e-09,8.881784197001252e-16
2,89,89,89,0,89,1.9900423188785954e-08,9.027321843950278e-09,1.3322676295501878e-15
3,52,89,89,0,89,0.00014665685661136485,4.5393571978274323e-10,8.881784197001252e-16
7,20,89,89,0,89,0.003404016307330212,6.003210319639562e-11,1.1102230246251565e-15
4,37,89,89,0,89,0.0016736741306902184,1.0923012258355099e-10,9.992007221626409e-16
2,90,90,90,0,90,9.109856858215573e-07,1.2493356557830757e-08,1.1102230246251565e-15
5,29,90,90,0,90,0.0021277970446204626,1.4767006500219048e-10,1.2212453270876722e-15
10,14,91,91,0,91,0.00010945551183995294,1.2777560426594225e-08,7.771561172376096e-16
2,91,91,91,0,91,7.369622592377372e-06,4.509424889926185e-10,8.881784197001252e-16
3,53,91,91,0,91,0.0003547284313323908,8.133361267252206e-11,8.881784197001252e-16
6,24,91,91,0,91,0.002197457194166281,5.576253066072927e-10,9.992007221626409e-16
2,92,92,92,0,92,3.7096828832909263e-06,2.8894741603421093e-10,1.6653345369377348e-15
4,38,92,92,0,92,0.0007557801982428654,2.231002921867704e-10,1.2212453270876722e-15
2,93,93,93,0,93,9.121527031336912e-07,1.853129579979337e-09,9.992007221626409e-16
8,18,93,93,0,93,0.00016741971732052172,4.000257396087068e-09,7.771561172376096e-16
11,13,93,93,0,93,0.0007544307664599934,4.117919788721455e-10,1.2212453270876722e-15
3,54,93,93,0,93,0.0002176741690674907,4.134456238714134e-10,7.771561172376096e-16
9,16,93,93,0,93,0.002006289100729524,1.0571527470440982e-10,1.2212453270876722e-15
5,30,93,93,0,93,0.0022683768186564164,1.4231826970974982e-09,7.771561172376096e-16
12,12,93,93,0,93,0.0036441501142966235,1.4021651678686066e-10,7.771561172376096e-16
2,94,94,94,0,94,1.6739766299796559e-06,5.031583648686098e-10,8.881784197001252e-16
7,21,94,94,0,94,0.0014703988456365275,3.1762443804745165e-07,4.96269692007445e-14
4,39,94,94,0,94,0.0016650287701045622,1.4218665064621435e-10,7.771561172376096e-16
3,55,94,94,0,94,0.0007475473520008086,6.310013707363549e-11,9.992007221626409e-16
2,95,95,95,0,95,7.01673701661504e-07,2.883395968090735e-09,9.992007221626409e-16
6,25,95,95,0,95,0.0014297571914737787,2.2590471110505662e-10,7.771561172376096e-16
2,96,96,96,0,96,9.853455265451657e-07,8.756283745450641e-10,9.992007221626409e-16
3,56,96,96,0,96,0.00023643934867938833,3.897428923207034e-10,1.3322676295501878e-15
5,31,96,96,0,96,0.0027303417182566064,7.326890319098604e-11,8.881784197001252e-16
2,97,97,97,0,97,2.1615581302450252e-07,3.062116544166276e-09,9.992007221626409e-16
4,40,97,97,0,97,0.0005530697162494356,3.5412351877619247e-10,1.1102230246251565e-15
10,15,97,97,0,97,0.0030545870259258605,7.677380874079324e-11,9.992007221626409e-16
2,98,98,98,0,98,1.0676379330197933e-06,8.748982091399708e-10,9.992007221626409e-16
8,19,98,98,0,98,0.0015694084285131674,1.2682680956201283e-10,7.771561172376096e-16
3,57,98,98,0,98,0.00020840731776930414,2.923472405842223e-10,6.661338147750939e-16
7,22,99,99,0,99,6.0493974966910386e-05,1.1547158093874569e-08,9.992007221626409e-16
2,99,99,99,0,99,3.425308563830717e-07,5.3154104503319104e-09,1.6653345369377348e-15
6,26,99,99,0,99,0.0008218629969898421,8.427413360022398e-11,6.661338147750939e-16
9,17,99,99,0,99,0.0019649302797360877,1.906438164744699e-10,1.1102230246251565e-15
4,41,99,99,0,99,0.0012212213150129333,5.04060478271314e-11,7.771561172376096e-16
2,100,100,100,0,100,7.087640398651168e-07,7.427109236372278e-09,1.2212453270876722e-15
3,58,100,100,0,100,3.5453284062643566e-05,8.134946275909563e-09,7.771561172376096e-16
5,32,100,100,0,100,0.000315767778737188,1.0902763207757619e-09,1.1102230246251565e-15
11,14,100,100,0,100,0.002324101072751033,5.4244034740290925e-11,1.1102230246251565e-15
